"Model","Subset","Replicate","K","Lambda","MoransI","MoransI_expected","MoransI_sd","MoransI_p","mpnns","mean_offdiag_cor","max_offdiag_cor","ess_1","ess_2","Subset_Type"
"Lambda1","dispersed",1,0.706797925470688,7.33137435857406e-05,-0.179934833802287,-0.142857142857143,0.0501587348755413,0.459781274410207,0.461282904539598,0.155430252624896,0.645497224367903,3.83139603002755,5.58457593313705,"dispersed"
"Lambda1","clustered",1,1.45072477826397,0.999926686256414,-0.102481403071944,-0.142857142857143,0.0591654715646866,0.494972999551024,0.519904083655864,0.36137305627082,0.833333333333333,2.26653846761588,3.39062867906758,"clustered"
"Lambda1","random_1",1,0.745102766787535,7.33137435857406e-05,-0.15616395596238,-0.142857142857143,0.0645918355404461,0.83678008794331,0.519174067871162,0.159197680785761,0.755928946018454,3.7836083167745,5.14504466184602,"random"
"Lambda1","random_2",1,0.791950990015212,0.999926686256414,-0.0413689842004766,-0.142857142857143,0.0925293044749591,0.27271929677645,0.548057180459585,0.200962232057984,0.833333333333333,3.32400448095533,4.77958717975314,"random"
"Lambda1","random_3",1,0.992491923886934,0.999926686256414,-0.0527905869355001,-0.142857142857143,0.0548910632438917,0.100834023013726,0.517950864142319,0.22312151465691,0.676123403782813,3.12274259548389,4.9602332490635,"random"
"Lambda1","random_4",1,0.695125920289573,7.33137435857406e-05,-0.160817164921519,-0.142857142857143,0.0620477197291372,0.772233219427476,0.466539710727927,0.217740071998251,0.843274042711568,3.16934545186504,4.85248329293991,"random"
"Lambda1","random_5",1,0.842431575938833,7.33137435857406e-05,-0.117832929040597,-0.142857142857143,0.096825625609794,0.7960625743282,0.724917075033709,0.184833489179454,0.833333333333333,3.48761005389226,4.56526908139811,"random"
"Lambda1","random_6",1,0.635632475933984,7.33137435857406e-05,-0.0869409827958289,-0.142857142857143,0.0809002225449229,0.489455970688566,0.343098742539931,0.196506971262453,0.801783725737273,3.36764288063288,4.75226519337017,"random"
"Lambda1","random_7",1,0.524113592054624,7.33137435857406e-05,-0.183162365956288,-0.142857142857143,0.0900607018353902,0.654489569039894,0.226429584334566,0.181060554328646,0.771516749810459,3.52823310608323,5.01629947791313,"random"
"Lambda1","random_8",1,0.580892526653623,7.33137435857406e-05,-0.161146321754597,-0.142857142857143,0.0849044706875603,0.829448529278361,0.46674827923259,0.251693587807589,0.9,2.89660379270285,4.34000387500346,"random"
"Lambda1","random_9",1,0.970437188093409,0.999926686256414,0.0776602216409159,-0.142857142857143,0.114852741051816,0.0548577875833773,0.605830279023142,0.176686683504691,0.857142857142857,3.57652706318612,5.03953204345311,"random"
"Lambda1","random_10",1,0.427928702651159,7.33137435857406e-05,-0.214642069965138,-0.142857142857143,0.106532715522642,0.500419474748793,0.506833511884431,0.249193298877855,0.857142857142857,2.91507678909757,4.18872565843053,"random"
"Lambda1","random_11",1,0.645626638034007,0.130000151063665,-0.0573710887524205,-0.142857142857143,0.130416795995168,0.512156525071266,0.561724536957557,0.190044317885303,0.857142857142857,3.43301930940259,4.64285361785288,"random"
"Lambda1","random_12",1,0.656726978032876,0.293985060881485,-0.0997638702733779,-0.142857142857143,0.0862161701784855,0.617196056928161,0.534344396664282,0.156147567617017,0.714285714285714,3.82220447646061,5.37753643898257,"random"
"Lambda1","random_13",1,0.510611451934879,7.33137435857406e-05,-0.22027692348784,-0.142857142857143,0.0801178683157268,0.333882319806087,0.450672949430573,0.22633022064005,0.721687836487032,3.09560200552702,4.54015708132759,"random"
"Lambda1","random_14",1,0.73549179253547,7.33137435857406e-05,-0.126159474571585,-0.142857142857143,0.0913320576642452,0.854936321395352,0.401717633551017,0.171274227385709,0.730296743340221,3.63815031263388,5.00586624951115,"random"
"Lambda1","random_15",1,1.24274508639454,0.999926686256414,0.0174661263091146,-0.142857142857143,0.127557273647247,0.208799695067384,0.700641919529977,0.286497544363388,0.9,2.66180194807128,3.85711298700766,"random"
"Lambda1","random_16",1,0.783845420747551,0.617688247548364,-0.104454604130446,-0.142857142857143,0.12241987030953,0.753752465915348,0.529757156662051,0.209215530779878,0.857142857142857,3.24608306305363,4.79894716975357,"random"
