"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"0.461***","0.386***","0.330***","0.330***","0.309***"
"dispersed",16,"0.607***","0.568***","0.526***","0.494***","0.474***"
"dispersed",32,"—","0.671***","0.646***","0.610***","0.582***"
"dispersed",64,"—","—","0.775***","0.733***","0.688***"
"clustered",8,"0.909","0.960*","0.983**","0.983**","0.991**"
"clustered",16,"0.866","0.980","0.960","0.983*","0.983*"
"clustered",32,"—","0.939","0.980","0.974","0.984"
"clustered",64,"—","—","0.983","0.980","0.991"
