"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","0.000*** / 0.627**","0.002*** / 0.627","0.000*** / 0.774**","0.000*** / 0.774"
"h / H = 0.10","0.000*** / 0.792**","0.044*** / 0.792","0.000*** / 0.880**","0.013*** / 0.880"
"h / H = 0.25","0.021*** / 0.911**","0.285*** / 0.911","0.018*** / 0.950**","0.174*** / 0.950"
"h / H = 0.50","0.100*** / 0.951**","0.505*** / 0.951","0.091*** / 0.973**","0.383*** / 0.973"
"h / H = 1.00","0.194*** / 0.969**","0.643*** / 0.969","0.179*** / 0.983**","0.532*** / 0.983"
