"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"5.34***","5.60***","6.12***","6.12***","6.20***"
"dispersed",16,"5.98**","6.50***","7.13***","7.19***","7.78***"
"dispersed",32,"—","6.82***","7.70***","7.80***","8.49***"
"dispersed",64,"—","—","7.85***","8.03***","8.91***"
"clustered",8,"1.41***","1.19***","1.10***","1.06***","1.05***"
"clustered",16,"2.06***","1.47***","1.27***","1.13***","1.09***"
"clustered",32,"—","1.92***","1.50***","1.27***","1.14***"
"clustered",64,"—","—","1.96***","1.53***","1.29***"
