"Model","Subset","Replicate","K","Lambda","MoransI","MoransI_expected","MoransI_sd","MoransI_p","mpnns","mean_offdiag_cor","max_offdiag_cor","ess_1","ess_2","Subset_Type"
"Lambda1","dispersed",1,0.636355226475666,7.33137435857406e-05,-0.0406456354141124,-0.032258064516129,0.00985562539990897,0.394744909389503,0.334291970376729,0.138275380635473,0.653720450460614,6.05311212471234,13.6667416740582,"dispersed"
"Lambda1","clustered",1,0.806727281359491,0.955298935788724,0.0696608829726852,-0.032258064516129,0.0239487447579575,2.08385308348991e-05,0.497589518982563,0.290398316481492,0.857142857142857,3.19924887685311,6.73730143017568,"clustered"
"Lambda1","random_1",1,0.713909683676228,0.941330603649394,-0.00610863597024564,-0.032258064516129,0.0157452531746251,0.0967572951067868,0.416190806388492,0.167379643632464,0.807207352795575,5.17065675662738,10.7686018285638,"random"
"Lambda1","random_2",1,0.623553130538329,0.999926686256414,-0.0162082758745518,-0.032258064516129,0.0266596660471426,0.547157416668882,0.417448298970944,0.187803422354508,0.928571428571429,4.69077110763565,8.97549482542763,"random"
"Lambda1","random_3",1,0.634699167050967,0.40802956303278,0.00407233007814474,-0.032258064516129,0.0225378950981877,0.106968624206072,0.413804899680671,0.193081798372929,0.941176470588235,4.58089417150459,9.14762870630654,"random"
"Lambda1","random_4",1,0.813851963307749,0.999926686256414,0.0533581730841534,-0.032258064516129,0.0242866423854418,0.000423099649275338,0.425043590110324,0.163853707527164,0.9,5.26362111647359,10.4616035104089,"random"
"Lambda1","random_5",1,0.652866414601191,0.999926686256414,-0.0110389245297834,-0.032258064516129,0.0243921834156978,0.384346549390621,0.411186157333701,0.193642481606566,0.909090909090909,4.56952443114268,8.43219568077408,"random"
"Lambda1","random_6",1,0.622554527933395,7.33137435857406e-05,-0.0115507219419685,-0.032258064516129,0.0223478100776113,0.354137467926263,0.42305150503197,0.177564197561168,0.859337848847319,4.91967846641484,9.36205370393409,"random"
"Lambda1","random_7",1,0.623326922858238,0.577149778115716,0.0711395781046953,-0.032258064516129,0.0261226052799694,7.5527043180923e-05,0.444840626631748,0.161240918126227,0.9,5.3346950481081,9.75589992576652,"random"
"Lambda1","random_8",1,0.74707210664699,0.999926686256414,0.0313050415114298,-0.032258064516129,0.0243063313011859,0.00892054284494503,0.464099478044151,0.167113980124102,0.923076923076923,5.17754666346955,10.1350592182698,"random"
"Lambda1","random_9",1,0.75340261377136,0.999926686256414,0.0247402489513261,-0.032258064516129,0.0246054119953538,0.0205312579938115,0.424815807627665,0.165033626001195,0.909508593886249,5.232141616352,9.9381094983138,"random"
"Lambda1","random_10",1,0.532938064869398,0.953352081588661,-0.00881641279716767,-0.032258064516129,0.0265727196578045,0.377684971692436,0.414357484582992,0.191555855721035,0.941176470588235,4.61212628518502,9.00660792520518,"random"
"Lambda1","random_11",1,0.798782425787796,0.999926686256414,0.0151092666195512,-0.032258064516129,0.0219248794312458,0.0307388190803,0.482295223046264,0.184741502275574,0.916666666666667,4.75695910262803,10.404993897594,"random"
"Lambda1","random_12",1,0.550643468218964,7.33137435857406e-05,-0.0290072700808058,-0.032258064516129,0.020023330505256,0.871029978022042,0.419105568273858,0.164589836264568,0.870388279778489,5.24393737714348,10.5629281615423,"random"
"Lambda1","random_13",1,0.66462129760092,7.33137435857406e-05,0.00696767708840305,-0.032258064516129,0.023642725521889,0.0970948278505446,0.367692045199946,0.164410291187931,0.916666666666667,5.24872474181579,10.7809115311386,"random"
"Lambda1","random_14",1,0.424338392083599,0.119702651779358,0.0218873453696677,-0.032258064516129,0.028781832892803,0.05993987128158,0.367426766638297,0.191067532796681,0.941176470588235,4.62221114344655,8.57834503055369,"random"
"Lambda1","random_15",1,0.733202106718033,0.999926686256414,-0.00995339078207914,-0.032258064516129,0.0226434044990605,0.324604107377952,0.412726902414563,0.181820079549192,0.909508593886249,4.82187506353362,9.31116392148746,"random"
"Lambda1","random_16",1,0.541873784852846,0.561361817051396,0.0138225457807129,-0.032258064516129,0.0218146045801818,0.0346543566933992,0.428694821613215,0.179097683196463,0.889499179993322,4.88398387878159,9.42505226036026,"random"
"Lambda1","random_17",1,0.790066914513337,0.697318314792971,0.0586777698483405,-0.032258064516129,0.0229621150972801,7.48697274655097e-05,0.403922162796383,0.189514244259348,0.883883476483184,4.65458501205933,9.07832586922846,"random"
"Lambda1","random_18",1,0.854567202106975,0.999926686256414,0.0385979614533659,-0.032258064516129,0.0280308752456254,0.0114784619776227,0.532081854563997,0.151158853860765,0.903696114115064,5.62793265556339,10.5857326661042,"random"
"Lambda1","random_19",1,0.514811743572408,7.33137435857406e-05,-0.0266465898479288,-0.032258064516129,0.0239806349782899,0.814984781726267,0.35048914085257,0.180344135980376,0.933333333333333,4.8553498604691,10.2304945127784,"random"
"Lambda1","random_20",1,0.717839921615558,0.795572941925263,0.0606591664178976,-0.032258064516129,0.0260270234963584,0.000356941590984317,0.447698555137033,0.172371688579473,0.941176470588235,5.04451600463918,10.3170576318194,"random"
"Lambda1","random_21",1,0.733536439450182,0.980698440942105,0.0376224931396275,-0.032258064516129,0.0285823731313545,0.0144899146834359,0.463098656441956,0.158922194865033,0.923076923076923,5.39939671521255,9.81930301096833,"random"
"Lambda1","random_22",1,0.764816862442952,0.999926686256414,0.0450969317292875,-0.032258064516129,0.0270786507331265,0.00428099371523927,0.455107396511923,0.163176216451645,0.916666666666667,5.28186794765215,10.4992864113432,"random"
"Lambda1","random_23",1,0.69422531421578,0.979449289203948,0.00457888711565073,-0.032258064516129,0.0221641445694322,0.0965114776220828,0.492788274594817,0.17211055042955,0.933333333333333,5.05096178682084,10.3976212857559,"random"
"Lambda1","random_24",1,0.835276587378597,0.999926686256414,0.00902436212994647,-0.032258064516129,0.0179258508032243,0.0212813785395636,0.388154066763829,0.156199591814072,0.870388279778489,5.4774005185944,11.3824920634555,"random"
